#,Token,Symbol,Address,Reputation,Labels,Symbol_lower,Rank,Asset,Symbol_y,Price,Marketcap,Category,Sector,Tags,similarity,type,Category_clean,duplicated
364,EUR CoinVertible,EURCV,0x5f7827fdeb7c20b443265fc2f40845b715385ff2,,,eurcv,,,,,,,,,0,,,
365,Savings crvUSD,scrvUSD,0x0655977feb2f289a4ab78af67bab0d17aab84367,,,scrvusd,,,,,,,,,0,,,
366,SeedifyFund,SFUND,0x560363bda52bc6a44ca6c8c9b4a5fadbda32fa60,,,sfund,628,Seedify.fund,SFUND,$0.72,$44.76M,Marketplaces,Launchpad and Crowdfunding,"['DeFi', 'Play-to-Earn']",82,Protocol,Marketplaces,
367,ECOx,ECOx,0xcccd1ba9f7acd6117834e0d28f25645decb1736a,,,ecox,,,,,,,,,0,,,
368,XUSD,XUSD,0xc08e7e23c235073c6807c2efe7021304cb7c2815,,,xusd,912,StraitsX XUSD,xusd,$1.00,$21.76M,,,,100,,,
369,COQINU,COQ,0x4afc4522e896aeacc83ea5322708ab64a9de5d1d,,,coq,554,Coq Inu,COQ,$0.0₆814,$56.88M,Cryptocurrency,Cryptocurrency,['Meme'],36,Cryptocurrency,Cryptocurrency,
370,COQINU,COQ,0x420fca0121dc28039145009570975747295f2329,,,coq,554,Coq Inu,COQ,$0.0₆814,$56.88M,Cryptocurrency,Cryptocurrency,['Meme'],36,Cryptocurrency,Cryptocurrency,
371,QRL,QRL,0x697beac28b09e122c4332d163985e8a73121b97f,,,qrl,843,Quantum Resistant Ledger,QRL,$0.38,$25.78M,Networks,Smart Contract Platform,['Proof-of-Work'],50,Protocol,Networks,
372,DevvE,DEVVE,0x8248270620aa532e4d64316017be5e873e37cc09,NEUTRAL,['DeFi'],devve,607,DevvE,devve,$0.54,$47.87M,,,,100,,,
373,TOKPIE,TKP,0xd31695a1d35e489252ce57b129fd4b1b05e6acac,,,tkp,,,,,,,,,0,,,
374,Bifrost,BFC,0x0c7d5ae016f806603cb1782bea29ac69471cab9c,,,bfc,643,Bifrost,BFC,$0.03,$42.37M,Networks,Smart Contract Platform,"['DAO', 'Governance Token']",100,Protocol,Networks,
375,ZEON,ZEON,0xe5b826ca2ca02f09c1725e9bd98d9a8874c30532,,,zeon,629,ZEON Network,ZEON,$0.00,$44.55M,Marketplaces,Exchange,,100,Protocol,Marketplaces,
376,PYR Token,PYR,0x430ef9263e76dae63c84292c3409d61c598e9682,NEUTRAL,['Gaming'],pyr,824,Vulcan Forged,PYR,$1.13,$27.09M,Metaverse and Gaming,Gaming,"['NFTs', 'Stakeable']",38,Protocol,Metaverse and Gaming,
377,DODO bird,DODO,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,,,dodo,595,DODO,DODO,$0.05,$50.20M,Marketplaces,Exchange,"['DAO', 'Decentralized Exchange']",100,Protocol,Marketplaces,
378,XION,XION,0x24d7ad9402717f429a81925fe7643b78918eda8b,,,xion,757,XION,xion,$0.95,$31.78M,Networks,Smart Contract Platform,,100,Protocol,Networks,
379,QANX Token,QANX,0xaaa9214f675316182eaa21c85f0ca99160cc3aaa,OK,['Blockchain'],qanx,,,,,,,,,0,,,
380,Synternet Token,SYNT,0xda987c655ebc38c801db64a8608bc1aa56cd9a31,,,synt,1007,Synternet,synt,$0.02,$16.50M,,,,100,,,
381,Myria,MYRIA,0xa0ef786bf476fe0810408caba05e536ac800ff86,NEUTRAL,['Decentralized Web'],myria,819,Myria,myria,$0.00,$27.32M,Networks,Scaling Solutions,['NFTs'],100,Protocol,Networks,
382,KEEP Token,KEEP,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,,,keep,621,Keep Network,KEEP,$0.08,$45.54M,Physical Infrastructure Networks,File Storage,"['DeFi', 'Privacy']",35,Protocol,Others,
383,Boba Token,BOBA,0x42bbfa2e77757c645eeaad1655e0911a7553efbc,,,boba,616,Boba Network,BOBA,$0.11,$46.47M,Networks,Scaling Solutions,"['Ethereum Layer-2', 'EVM']",71,Protocol,Networks,
384,pepeCoin,pepecoin,0xa9e8acf069c58aec8825542845fd754e41a9489a,NEUTRAL,,pepecoin,658,PepeCoin,pepecoin,$0.39,$40.98M,Cryptocurrency,Cryptocurrency,['Meme'],93,Cryptocurrency,Cryptocurrency,
385,Forta,FORT,0x41545f8b9472d758bb669ed8eaeeecd7a9c4ec29,,,fort,678,Forta,FORT,$0.07,$38.55M,Security,Security Monitoring,"['A.I.', 'DAO']",100,Protocol,Others,
386,MAGIC,MAGIC,0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a,,,magic,579,Treasure DAO,MAGIC,$0.16,$52.81M,Metaverse and Gaming,Gaming,"['DAO', 'Governance Token']",29,Protocol,Metaverse and Gaming,
387,CudosToken,CUDOS,0x817bbdbc3e8a1204f3691d14bb44992841e3db35,NEUTRAL,['Network'],cudos,633,Cudos,CUDOS,$0.01,$44.01M,Networking and Web Services,Cloud Platforms,"['A.I.', 'Cosmos SDK']",100,Protocol,Others,
388,dForce,DF,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,,,df,603,dForce,DF,$0.05,$48.45M,Cryptocurrency,Cryptocurrency,"['Decentralized Lender', 'DeFi']",100,Cryptocurrency,Cryptocurrency,
389,OriginToken,OGN,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,NEUTRAL,"['Origin', 'Marketplace']",ogn,637,Origin Protocol,OGN,$0.06,$43.70M,Entertainment,Collectibles and Digital Goods,"['DAO', 'DeFi']",71,Protocol,Others,
390,Whiteheart Token,WHITE,0x5f0e628b693018f639d10e4a4f59bd4d8b2b6b44,,,white,148,WhiteRock,white,$0.00,$476M,Marketplaces,Exchange,"['Decentralized Exchange', 'DeFi']",71,Protocol,Marketplaces,
391,ALICE,ALICE,0xac51066d7bec65dc4589368da368b212745d63e8,NEUTRAL,['Gaming'],alice,646,Alice,ALICE,$0.45,$41.79M,Metaverse and Gaming,Gaming,"['Game', 'NFTs']",33,Protocol,Metaverse and Gaming,
392,Storj,STORJ,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,NEUTRAL,"['Cloud', 'Storage']",storj,647,Storj,STORJ,$0.29,$41.71M,Physical Infrastructure Networks,File Storage,['DePIN'],100,Protocol,Others,
393,Nectar,NCT,0x9e46a38f5daabe8683e10793b06749eef7d733d1,,,nct,665,PolySwarm,NCT,$0.02,$39.89M,Security,Security Monitoring,,44,Protocol,Others,
394,Wrapped NXM,wNXM,0x0d438f3b5175bebc262bf23753c1e53d03432bde,NEUTRAL,['DeFi'],wnxm,675,Wrapped Nexus Mutual,WNXM,$58.38,$39M,Synthetic Assets,Wrapped Assets,['DeFi'],90,Synthetic,Wrapped Assets,
395,Ice,ICE,0x79f05c263055ba20ee0e814acd117c20caa10e0c,,,ice,623,Ice,ice,$0.01,$45.45M,Marketplaces,Lending,['DeFi'],100,Protocol,Marketplaces,
396,Stride (IBC),STRD,0x3f8bb8634ca4a61aa23cd0df00c3152e0eaf9587,,,strd,765,Stride,STRD,$0.34,$31.15M,Mining and Validation,Liquid Staking,"['Application Specific Chain', 'Cosmos SDK']",100,Protocol,Liquid Staking,
397,EDU Coin,EDU,0x26aad156ba8efa501b32b42ffcdc8413f90e9c99,,,edu,681,Open Campus,EDU,$0.15,$38.37M,News and Information,Education,,29,Protocol,Others,
398,Alephium (AlphBridge),ALPH,0x590f820444fa3638e022776752c5eef34e2f89a6,NEUTRAL,['Blockchain'],alph,586,Alephium,ALPH,$0.47,$51.80M,Networks,Smart Contract Platform,,100,Protocol,Networks,
399,TruStake MATIC Vault Shares,TruMATIC,0xa43a7c62d56df036c187e1966c03e2799d8987ed,,,trumatic,,,,,,,,,0,,,
400,ResearchCoin,RSC,0xd101dcc414f310268c37eeb4cd376ccfa507f571,,,rsc,534,ResearchCoin,rsc,$0.55,$62.29M,Networks,Other,['Research'],100,Protocol,Networks,
401,Metadium,META,0xde2f7766c8bf14ca67193128535e5c7454f8387c,,,meta,1027,META,META,$753.81,$15.74M,Governance,Governance Frameworks,"['DAO', 'DeFi']",40,Protocol,Others,
402,Streamr (old),XDATA,0x0cf0ee63788a0849fe5297f3407f701e122cc023,,,xdata,,,,,,,,,0,,,
403,Sai Stablecoin v1.0,SAI,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,,,sai,1387,Sharpe AI,sai,$0.02,$6.53M,Developer Tooling,Automation,['DeFi'],46,Protocol,Others,
404,Wrapped QUIL,wQUIL,0x8143182a775c54578c8b7b3ef77982498866945d,NEUTRAL,['Stablecoin'],wquil,,,,,,,,,0,,,
405,tao.bot,TAOBOT,0x49fb8ad7578148e17c3ef0c344ce23a66ed372c4,,,taobot,656,tao.bot,taobot,$0.53,$41.11M,Developer Tooling,Automation,['Trading Bots'],100,Protocol,Others,
406,Synapse,SYN,0x0f2d719407fdbeff09d87557abb7232601fd9f29,NEUTRAL,"['Synapse', 'Bridge']",syn,610,Synapse,SYN,$0.22,$47.58M,Cross-Chain Interoperability,Generalized Bridge,"['Automated Market Maker (AMM)', 'DAO']",100,Protocol,Generalized Bridge,
407,PUFFER,PUFFER,0x4d1c297d39c5c1277964d0e3f8aa901493664530,,,puffer,677,Puffer Finance,PUFFER,$0.22,$38.73M,Mining and Validation,Liquid Staking,"['DeFi', 'Ethereum Liquid Staking Asset']",29,Protocol,Liquid Staking,
408,Hegic,HEGIC,0x584bc13c7d411c00c01a62e8019472de68768430,,,hegic,679,Hegic,HEGIC,$0.04,$38.54M,Marketplaces,Exchange,"['Decentralized Exchange', 'DeFi']",100,Protocol,Marketplaces,
409,Synth sUSD,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,,,susd,722,Synthetix USD,sUSD,$0.96,$34.67M,Cryptocurrency,Stablecoins,"['Decentralized Issuer', 'DeFi']",67,Cryptocurrency,Stablecoins,TRUE
410,FunFair,FUN,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,,,fun,641,FunFair,FUN,$0.00,$42.66M,Investment Management,Venture Capital,,100,Protocol,Others,
411,TORN Token,TORN,0x77777feddddffc19ff86db637967013e6c6a116c,,,torn,743,Tornado Cash,TORN,$9.50,$32.89M,Financial Services,Payments,"['DAO', 'DeFi']",43,Protocol,Financial Services,
412,Radicle,RAD,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,,,rad,692,Radicle,RAD,$0.74,$37.20M,Developer Tooling,Developer Tooling,"['DAO', 'Governance Token']",100,Protocol,Others,
413,brBTC,brBTC,0x2ec37d45fcae65d9787ecf71dc85a444968f6646,,,brbtc,,,,,,,,,0,,,
414,AxonDAO Governance Token,AXGT,0xdd66781d0e9a08d4fbb5ec7bac80b691be27f21d,NEUTRAL,['DAO'],axgt,627,AxonDAO Governance Token,axgt,$0.10,$44.95M,Physical Infrastructure Networks,Database,"['A.I.', 'DAO']",100,Protocol,Others,
415,Celo Dollar (Wormhole),cUSD,0xc22956c3cfec3ee9a9925abee044f05bc47f6632,,,cusd,711,Celo Dollar,CUSD,$1.00,$35.52M,Cryptocurrency,Stablecoins,"['Decentralized Issuer', 'DeFi']",100,Cryptocurrency,Stablecoins,
416,Wrapped Celo USD,wCUSD,0xad3e3fc59dff318beceaab7d00eb4f68b1ecf195,,,wcusd,,,,,,,,,0,,,
417,PIXEL,PIXEL,0x3429d03c6f7521aec737a0bbf2e5ddcef2c3ae31,NEUTRAL,['Gaming'],pixel,686,Pixels,PIXEL,$0.05,$37.63M,Metaverse and Gaming,Gaming,"['Game', 'NFTs']",33,Protocol,Metaverse and Gaming,
418,Hashflow,HFT,0xb3999f658c0391d94a37f7ff328f3fec942bcadc,NEUTRAL,"['DEX', 'DeFi']",hft,653,Hashflow,HFT,$0.07,$41.36M,Marketplaces,Exchange,"['DAO', 'Decentralized Exchange']",100,Protocol,Marketplaces,
419,AVL,AVL,0x5c8d0c48810fd37a0a824d074ee290e64f7a8fa2,,,avl,630,Avalon,avl,$0.24,$44.43M,,,,50,,,
420,Dusk Network,DUSK,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551,NEUTRAL,['Privacy'],dusk,661,Dusk Network,DUSK,$0.08,$40.64M,Networks,Scaling Solutions,"['Privacy', 'Proof-of-Stake']",100,Protocol,Networks,
421,GameStop,GME,0xc56c7a0eaa804f854b536a5f3d5f49d2ec4b12b8,NEUTRAL,,gme,1056,GME,gme,$0.00,$14.54M,,,['Parody Coins'],50,,,
422,SX Network,SX,0xbe9f61555f50dd6167f2772e9cf7519790d96624,,,sx,,,,,,,,,0,,,
423,ETH-Peg Thunder Token,TT,0x1e053d89e08c24aa2ce5c5b4206744dc2d7bd8f5,,,tt,720,Thunder Token,TT,$0.00,$34.85M,Networks,Smart Contract Platform,,100,Protocol,Networks,
424,Messier,M87,0x80122c6a83c8202ea365233363d3f4837d13e888,,,m87,685,MESSIER,m87,$0.00,$37.75M,,,,25,,,
425,OPENLOOT,OL,0x1f57da732a77636d913c9a75d685b26cc85dcc3a,,,ol,813,Open Loot,ol,$0.06,$27.72M,,,,29,,,
426,DEAPCOIN,DEP,0x1a3496c18d558bd9c6c8f609e1b129f67ab08163,NEUTRAL,['Entertainment'],dep,719,DEAPCOIN,DEP,$0.00,$34.88M,Metaverse and Gaming,Gaming,"['NFTs', 'Play-to-Earn']",100,Protocol,Metaverse and Gaming,
427,Maverick Token,MAV,0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd,,,mav,691,Maverick Protocol,MAV,$0.06,$37.20M,Marketplaces,Exchange,"['Automated Market Maker (AMM)', 'Decentralized Exchange']",78,Protocol,Marketplaces,
428,pSTAKE Finance,PSTAKE,0xfb5c6815ca3ac72ce9f5006869ae67f18bf77006,NEUTRAL,"['DeFi', 'Staking']",pstake,899,pSTAKE Finance,PSTAKE,$0.05,$22.52M,Synthetic Assets,Liquid Staking Tokens,['Liquid Staking'],100,Synthetic,Liquid Staking Tokens,
429,ARPA Token,ARPA,0xba50933c268f567bdc86e1ac131be072c6b0b71a,,,arpa,690,ARPA Chain,ARPA,$0.02,$37.33M,HR and Community Tools,Access Control,['Privacy'],67,Protocol,Others,
430,Orchid,OXT,0x4575f41308ec1483f3d399aa9a2826d74da13deb,,,oxt,710,Orchid,OXT,$0.06,$35.53M,Networking and Web Services,Virtual Private Network (VPN),['DePIN'],100,Protocol,Others,
431,Compound USD Coin,cUSDC,0x39aa39c021dfbae8fac545936693ac917d5e7563,,,cusdc,739,cUSDC,CUSDC,$0.02,$33.13M,Synthetic Assets,Collateral Assets,['DeFi'],80,Synthetic,Collateral Assets,
432,CargoX,CXO,0xb6ee9668771a79be7967ee29a63d4184f8097143,,,cxo,748,CargoX,CXO,$0.20,$32.72M,Consumer Infrastructure,"Identity, Reputation, and Credentialing",,100,Protocol,Others,
433,ALEX,ALEX,0xa831a4e181f25d3b35949e582ff27cc44e703f37,,,alex,693,Alex Lab,ALEX,$0.04,$37.13M,Marketplaces,Exchange,"['Decentralized Exchange', 'Decentralized Lender']",40,Protocol,Marketplaces,
434,OMG Network,OMG,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,NEUTRAL,"['OMG Network', 'Finance', 'DEX']",omg,809,OMG Network,OMG,$0.20,$27.98M,Networks,Scaling Solutions,['SEC Alleged Securities'],100,Protocol,Networks,
435,Clover,CLV,0x80c62fe4487e1351b47ba49809ebd60ed085bf52,,,clv,731,Clover Finance,CLV,$0.03,$33.50M,Wallet,Wallets,"['DAO', 'Governance Token']",100,Protocol,Others,
436,Dacxi Coin,DXI,0x5e29cf3e3fed4df50acab95f8268e9ee26ea36f2,,,dxi,,,,,,,,,0,,,
437,ASSEMBLE,ASM,0x2565ae0385659badcada1031db704442e1b69982,,,asm,715,Assemble AI,ASM,$0.02,$35M,Data,Analytics,"['AI Agents', 'Market Data']",22,Protocol,Others,
438,DeGate Token,DG,0x53c8395465a84955c95159814461466053dedede,,,dg,780,DeGate,DG,$0.08,$30M,Marketplaces,Exchange,"['Decentralized Exchange', 'DeFi']",100,Protocol,Marketplaces,
439,Edge,EDGE,0x4ec1b60b96193a64acae44778e51f7bff2007831,,,edge,864,Definitive,EDGE,$0.12,$24.42M,Marketplaces,Aggregator,,40,Protocol,Marketplaces,
440,Covalent X Token,CXT,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,,,cxt,749,Covalent,CXT,$0.04,$32.65M,Data,Indexing,['API'],100,Protocol,Others,
441,Radiant,RDNT,0x137ddb47ee24eaa998a535ab00378d6bfa84f893,,,rdnt,766,Radiant Capital,RDNT,$0.03,$31.04M,Marketplaces,Lending,"['Decentralized Lender', 'DeFi']",100,Protocol,Marketplaces,
442,ParaSwap,PSP,0xcafe001067cdef266afb7eb5a286dcfd277f3de5,,,psp,792,Paraswap,PSP,$0.02,$29.26M,Marketplaces,Exchange,"['DAO', 'Decentralized Exchange']",88,Protocol,Marketplaces,
443,[FCT] FirmaChain Token,FCT,0xe1bad922f84b198a08292fb600319300ae32471b,,,fct,768,Firmachain,FCT,$0.03,$30.84M,Networks,Smart Contract Platform,,90,Protocol,Networks,
444,Radio Caca V2,RACA,0x12bb890508c125661e03b09ec06e404bc9289040,,,raca,734,Radio Caca,RACA,$0.00,$33.35M,Metaverse and Gaming,Gaming,"['NFTs', 'Play-to-Earn']",100,Protocol,Metaverse and Gaming,
445,LimeWire Token,LMWR,0x628a3b2e302c7e896acc432d2d0dd22b6cb9bc88,NEUTRAL,"['Artificial Intelligence', 'Entertainment']",lmwr,767,LimeWire Token,lmwr,$0.09,$30.99M,Entertainment,Collectibles and Digital Goods,"['A.I.', 'NFTs']",100,Protocol,Others,
446,inSure,SURE,0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e,,,sure,635,inSure DeFi,SURE,$0.00,$43.89M,Financial Services,Insurance,"['A.I.', 'DAO']",100,Protocol,Financial Services,
447,Renzo,REZ,0x3b50805453023a91a8bf641e279401a0b23fa6f9,NEUTRAL,['DeFi'],rez,707,Renzo,REZ,$0.01,$35.62M,Synthetic Assets,Liquid Staking Tokens,"['DeFi', 'Liquid Staking']",100,Synthetic,Liquid Staking Tokens,
448,Dorayaki,DORA,0x70b790d0948a760e80bc3f892b142f7779b538b2,,,dora,,,,,,,,,0,,,
449,Dorayaki,DORA,0x4957805230831401caad5b690aa138143b711358,,,dora,,,,,,,,,0,,,
450,VitaDAO Token,VITA,0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321,,,vita,729,VitaDAO,VITA,$1.31,$33.80M,Marketplaces,Launchpad and Crowdfunding,['DAO'],100,Protocol,Marketplaces,
451,TokenPocket Token,TPT,0x4161725d019690a3e0de50f6be67b07a86a9fae1,,,tpt,858,Token Pocket,TPT,$0.01,$24.77M,Wallet,Wallets,,96,Protocol,Others,
452,ELYSIA,EL,0x2781246fe707bb15cee3e5ea354e2154a2877b16,,,el,752,ELYSIA,EL,$0.00,$32.45M,Synthetic Assets,Real World Assets,,100,Synthetic,Others,
453,Milady Cult Coin,CULT,0x0000000000c5dc95539589fbd24be07c6c14eca4,,,cult,718,Milady Cult Coin,cult,$0.00,$34.90M,Cryptocurrency,Cryptocurrency,['Meme'],100,Cryptocurrency,Cryptocurrency,
454,ChangeNOW,NOW,0xe9a95d175a5f4c9369f3b74222402eb1b837693b,,,now,825,NOW Token,NOW,$0.32,$27.03M,Cryptocurrency,Cryptocurrency,,50,Cryptocurrency,Cryptocurrency,
455,Alien Worlds Trilium,TLM,0x888888848b652b3e3a0f34c96e00eec0f3a23f72,,,tlm,754,Alien Worlds,TLM,$0.01,$32.27M,Metaverse and Gaming,Gaming,"['Game', 'NFTs']",100,Protocol,Metaverse and Gaming,
456,Alpha Quark Token,AQT,0x2a9bdcff37ab68b95a53435adfd8892e86084f93,,,aqt,770,Alpha Quark Token,AQT,$1.14,$30.66M,Marketplaces,Lending,['DeFi'],100,Protocol,Marketplaces,
457,Uquid Coin,UQC,0x8806926ab68eb5a7b909dcaf6fdbe5d93271d6e2,,,uqc,776,Uquid Coin,UQC,$3.03,$30.31M,Financial Services,Payments,['DeFi'],100,Protocol,Financial Services,
458,Moss Coin,MOC,0x865ec58b06bf6305b886793aa20a2da31d034e68,,,moc,778,Moss Coin,MOC,$0.07,$30.15M,Metaverse and Gaming,Metaverse,,100,Protocol,Metaverse and Gaming,
459,Wrapped MOC,WMOC,0xbee20b9df360b8442534ed8059f3e5baeeb74eaf,,,wmoc,,,,,,,,,0,,,
460,Ankr Staked ETH,ankrETH,0xe95a203b1a91a908f9b9ce46459d101078c2c3cb,,,ankreth,,,,,,,,,0,,,
461,Stader,SD,0x30d20208d987713f46dfd34ef128bb16c404d10f,,,sd,774,Stader,SD,$0.53,$30.51M,Mining and Validation,Liquid Staking,"['DAO', 'DeFi']",100,Protocol,Liquid Staking,
462,StormX,STMX,0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,,,stmx,716,StormX,STMX,$0.00,$34.95M,Financial Services,Payments,,100,Protocol,Financial Services,
463,Electronic Dollar,eUSD,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,,,eusd,909,Electronic USD,eusd,$1.00,$22.08M,Cryptocurrency,Stablecoins,['U.S. Dollar Stablecoin'],92,Cryptocurrency,Stablecoins,
464,Mai Stablecoin,MAI,0x8d6cebd76f18e1558d4db88138e2defb3909fad6,,,mai,47,Mine AI,mai,$0.00,,Mining and Validation,Mining Operations and Support,,55,Protocol,Mining and Validation,
465,Ampleforth Governance,FORTH,0x77fba179c79de5b7653f68b5039af940ada60ce0,,,forth,808,Ampleforth Governance Token,FORTH,$2.44,$28.09M,Governance,Governance Frameworks,"['DAO', 'Governance Token']",100,Protocol,Others,
466,ApeX Token,APEX,0x52a8845df664d76c69d2eea607cd793565af42b8,,,apex,785,ApeX Protocol,apex,$0.32,$29.86M,Marketplaces,Exchange,"['Decentralized Exchange', 'Derivatives']",67,Protocol,Marketplaces,
467,MNEE USD Stablecoin,MNEE,0x8ccedbae4916b79da7f3f612efb2eb93a2bfd6cf,,,mnee,841,MNEE USD Stablecoin,mnee,$1.00,$25.93M,,,,100,,,
468,Automata,ATA,0xa2120b9e674d3fc3875f415a7df52e382f141225,,,ata,798,Automata Network,ATA,$0.05,$29.08M,Consumer Infrastructure,"Identity, Reputation, and Credentialing","['DeFi', 'Privacy']",100,Protocol,Others,
469,Epic Chain,EPIC,0x94314a14df63779c99c0764a30e0cd22fa78fc0e,,,epic,786,Epic Chain,epic,$1.31,$29.69M,,,,100,,,
470,Wojak Coin,WOJAK,0x5026f006b85729a8b14553fae6af249ad16c9aab,UNKNOWN,['MEME'],wojak,730,Wojak,wojak,$0.00,$33.53M,Cryptocurrency,Cryptocurrency,['Meme'],100,Cryptocurrency,Cryptocurrency,
471,HairDAO Token,HAIR,0x9ce115f0341ae5dabc8b477b74e83db2018a6f42,,,hair,,,,,,,,,0,,,
472,Empyreal,EMP,0x39d5313c3750140e5042887413ba8aa6145a9bd2,,,emp,724,Empyreal,emp,$110.75,$34.15M,Developer Tooling,Developer Tooling,"['A.I.', 'AI Agents']",100,Protocol,Others,
473,PORTAL,PORTAL,0x1bbe973bef3a977fc51cbed703e8ffdefe001fed,NEUTRAL,['Gaming'],portal,1226,Portal,PORTAL,$0.06,$9.85M,Metaverse and Gaming,Gaming,"['Gaming Platform', 'Play-to-Earn']",29,Protocol,Metaverse and Gaming,
474,DAO Maker,DAO,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,NEUTRAL,['DAO'],dao,670,DAO Maker,DAO,$0.16,$39.45M,Marketplaces,Launchpad and Crowdfunding,"['DAO', 'DeFi']",100,Protocol,Marketplaces,
475,Ixs Token,IXS,0x73d7c860998ca3c01ce8c808f5577d94d545d1b4,NEUTRAL,['DeFi'],ixs,744,IX Swap,IXS,$0.18,$32.83M,Marketplaces,Exchange,"['DeFi', 'Launchpad and Crowdfunding']",36,Protocol,Marketplaces,
476,Guild of Guardians,GOG,0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62,NEUTRAL,"['Gaming', 'Play-to-Earn']",gog,728,Guild of Guardians,GOG,$0.04,$33.84M,Metaverse and Gaming,Gaming,"['Game', 'NFTs']",100,Protocol,Metaverse and Gaming,
477,BOBO,BOBO,0xb90b2a35c65dbc466b04240097ca756ad2005295,NEUTRAL,['MEME'],bobo,777,BOBO Coin,bobo,$0.0₆454,$30.25M,Cryptocurrency,Cryptocurrency,['Meme'],100,Cryptocurrency,Cryptocurrency,
478,Chainflip,FLIP,0x826180541412d574cf1336d22c0c0a287822678a,NEUTRAL,"['Cross-Chain', 'DeFi', 'DEX']",flip,845,Chainflip,flip,$0.40,$25.60M,Marketplaces,Exchange,,100,Protocol,Marketplaces,
479,PlatON LAT,LAT,0xaa5b0fb7fa0ba99ad615cff4b7cc2106275efa54,,,lat,811,PlatON Network,LAT,$0.00,$27.82M,Marketplaces,Exchange,['A.I.'],82,Protocol,Marketplaces,
480,Ampleforth,AMPL,0xd46ba6d942050d489dbd938a2c909a5d5039a161,NEUTRAL,"['Ampleforth ', 'Rebase Token']",ampl,687,Ampleforth,AMPL,$1.15,$37.58M,Cryptocurrency,Stablecoins,"['DAO', 'DeFi']",100,Cryptocurrency,Stablecoins,
481,Vice,VICE,0xfd409bc96d126bc8a56479d4c7672015d539f96c,,,vice,1118,VICE,vice,$0.02,$12.43M,,,,40,,,
482,TLOS,TLOS,0x193f4a4a6ea24102f49b931deeeb931f6e32405d,,,tlos,866,Telos,TLOS,$0.06,$24.28M,Networks,Smart Contract Platform,"['DeFi', 'NFTs']",40,Protocol,Networks,
483,PaLM AI,PALM,0xf1df7305e4bab3885cab5b1e4dfc338452a67891,NEUTRAL,,palm,,,,,,,,,0,,,
484,Hyperlane,HYPER,0x93a2db22b7c736b341c32ff666307f4a9ed910f5,,,hyper,836,Hyperlane,hyper,$0.15,$26.23M,,,,100,,,TRUE
485,SWEAT,SWEAT,0xb4b9dc1c77bdbb135ea907fd5a08094d98883a35,,,sweat,,,,,,,,,0,,,
486,DOVU,DOV,0xac3211a5025414af2866ff09c23fc18bc97e79b1,,,dov,,,,,,,,,0,,,
487,Dovu,DOVU[eth],0x2aeabde1ab736c59e9a19bed67681869eef39526,,,dovu[eth],,,,,,,,,0,,,
488,dYdX,DYDX,0x92d6c1e31e14520e676a687f0a93788b716beff5,NEUTRAL,['dYdX'],dydx,747,dYdX,DYDX,$0.61,$32.72M,Marketplaces,Exchange,"['Application Specific Chain', 'Decentralized Exchange']",100,Protocol,Marketplaces,
489,Heima,HEI,0xf8f173e20e15f3b6cb686fb64724d370689de083,,,hei,891,Heima,HEI,$0.31,$23M,Networks,Smart Contract Platform,['DeFi'],100,Protocol,Networks,
490,DEXTools,DEXT,0xfb7b4564402e5500db5bb6d63ae671302777c75a,NEUTRAL,['Trading'],dext,876,DexTools,DEXT,$0.30,$23.64M,Developer Tooling,Developer Tooling,,77,Protocol,Others,
491,Gelato Network Token,GEL,0x15b7c0c907e4c6b9adaaaabc300c08991d6cea05,,,gel,881,Gelato,GEL,$0.09,$23.41M,Developer Tooling,Developer Tooling,['DeFi'],100,Protocol,Others,
492,Orderly Network,ORDER,0xabd4c63d2616a5201454168269031355f4764337,,,order,823,Orderly Network,order,$0.10,$27.19M,Marketplaces,Exchange,"['Decentralized Exchange', 'Decentralized Exchange Aggregator']",100,Protocol,Marketplaces,
493,YUSD,YUSD,0x4274cd7277c7bb0806bd5fe84b9adae466a8da0a,,,yusd,,,,,,,,,0,,,
494,AlphaToken,ALPHA,0xa1faa113cbe53436df28ff0aee54275c13b40975,,,alpha,831,Stella,ALPHA,$0.03,$26.52M,Consultancy and Advisory,Incubators and Accelerators,"['DeFi', 'Yield Aggregator']",36,Protocol,Others,
495,SENTINEL PROTOCOL,UPP,0xc86d054809623432210c107af2e3f619dcfbf652,,,upp,,,,,,,,,0,,,
